Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France	86797862	86797862	51005640	21349006	14443216	21535920	12781156	10143217	36015067	92.64	18007533.5	6390578.0	5071608.5
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France	81521977	81521977	46755743	21046391	13719843	20503093	8730798	9355367	34419135	94.65	17209567.5	4365399.0	4677683.5
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France	79317616	79317616	50236936	16963485	12117195	22079636	10411642	9964220	35938738	93.44	17969369.0	5205821.0	4982110.0
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France	81422404	81422404	49332867	18682513	13407024	21401530	9885555	9972325	36004794	93.93	18002397.0	4942777.5	4986162.5
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France	92429178	92429178	58865555	19816091	13747532	26140513	11790975	11315116	42343993	93.62	21171996.5	5895487.5	5657558.0
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea	85732878	85732878	43449593	26110801	16172484	18022807	10969084	8881649	31002839	93.6	15501419.5	5484542.0	4440824.5
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France	82344581	82344581	49843139	19488197	13013245	22215731	8891997	9563675	36799144	94.6	18399572.0	4445998.5	4781837.5
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea	91650551	91650551	48163100	26866693	16620758	20171380	12188228	9844469	33950743	93.35	16975371.5	6094114.0	4922234.5
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea	85288694	85288694	46721971	23591903	14974820	19455886	11380530	9517993	33633647	93.33	16816823.5	5690265.0	4758996.5
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea	82519973	82519973	44892842	23283554	14343577	19093426	10514007	9180067	31904758	93.63	15952379.0	5257003.5	4590033.5
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea	84403710	84403710	43763649	24961249	15678812	18096603	11197510	8977234	31159348	93.37	15579674.0	5598755.0	4488617.0
