Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_1_P	SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86797862.0	0.0	50-101	48.0	85.6900489508612	97.21887101320537	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_2_P	SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86797862.0	0.0	50-101	47.0	85.86195988453586	96.22130058917811	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_1_P	SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81521977.0	0.0	50-101	48.0	86.06599478640258	97.04593204357641	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_2_P	SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81521977.0	0.0	50-101	48.0	85.9182658769891	96.60879183535992	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_1_P	SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79317616.0	0.0	50-101	47.0	83.32516803441288	97.67100113044245	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_2_P	SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79317616.0	0.0	50-101	47.0	83.51793540608236	96.58113229222623	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_1_P	SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81422404.0	0.0	50-101	47.0	83.930354848562	97.67940411093733	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_2_P	SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81422404.0	0.0	50-101	47.0	94.2230513373462	96.30990084743752	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_1_P	SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92429178.0	0.0	50-101	47.0	82.08871690370792	98.29773888068117	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_2_P	SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92429178.0	0.0	50-101	47.0	82.41598299218384	97.47018563769981	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_1_P	SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85732878.0	0.0	50-101	48.0	84.97244094683158	97.30771205417832	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_2_P	SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85732878.0	0.0	50-101	47.0	85.10494992779533	95.92444266247541	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_1_P	SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82344581.0	0.0	50-101	47.0	84.81468098396074	98.45224110133003	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_2_P	SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82344581.0	0.0	50-101	47.0	85.03658916120062	97.48570026727077	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_1_P	SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91650551.0	0.0	50-101	47.0	82.35609721589965	97.7219594893652	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_2_P	SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91650551.0	0.0	50-101	47.0	82.88087453544144	96.20255101357765	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_1_P	SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85288694.0	0.0	50-101	48.0	86.59879480235905	97.26224394994253	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_2_P	SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85288694.0	0.0	50-101	48.0	86.69070297215407	95.63114245834272	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_1_P	SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82519973.0	0.0	50-101	47.0	84.07331007061394	97.09144858784673	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_2_P	SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82519973.0	0.0	50-101	47.0	84.2367427324763	95.71808393587332	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_1_P	SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84403710.0	0.0	50-101	48.0	85.76024667047639	97.33793429222483	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_2_P	SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84403710.0	0.0	50-101	47.0	85.95809912587997	95.77995865347626	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_1_P	SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88492463.0	0.0	50-101	47.0	85.28393923893478	97.44022511838098	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_2_P	SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88492463.0	0.0	50-101	47.0	85.43256444262998	95.794232216138	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_1_P	SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84245004.0	0.0	50-101	47.0	85.24934202071628	97.96218505728838	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_2_P	SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84245004.0	0.0	50-101	47.0	85.21725366738858	96.64369094219522	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_1_P	SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84141170.0	0.0	50-101	47.0	85.72986023539029	97.77692972417664	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_2_P	SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84141170.0	0.0	50-101	47.0	85.67302928502671	96.71426903143848	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_1_P	SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84609684.0	0.0	50-101	46.0	78.75884929827431	97.90626125018976	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_2_P	SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84609684.0	0.0	50-101	46.0	79.41875987595509	95.96742663641197	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_1_P	SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85182300.0	0.0	50-101	47.0	86.8232187510926	97.92101253429409	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
