Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_1_P	14.309951049138803	48.0	97.21887101320537	0.0	86797862.0
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_2_P	14.138040115464136	47.0	96.22130058917811	9.090909090909092	86797862.0
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_1_P	13.934005213597416	48.0	97.04593204357641	0.0	81521977.0
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_2_P	14.081734123010904	48.0	96.60879183535992	0.0	81521977.0
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_1_P	16.674831965587117	47.0	97.67100113044245	0.0	79317616.0
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_2_P	16.48206459391764	47.0	96.58113229222623	9.090909090909092	79317616.0
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_1_P	16.069645151437996	47.0	97.67940411093733	0.0	81422404.0
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_2_P	5.776948662653794	47.0	96.30990084743752	9.090909090909092	81422404.0
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_1_P	17.91128309629208	47.0	98.29773888068117	0.0	92429178.0
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_2_P	17.584017007816158	47.0	97.47018563769981	0.0	92429178.0
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_1_P	15.027559053168417	48.0	97.30771205417832	0.0	85732878.0
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_2_P	14.895050072204668	47.0	95.92444266247541	0.0	85732878.0
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_1_P	15.185319016039259	47.0	98.45224110133003	0.0	82344581.0
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_2_P	14.963410838799376	47.0	97.48570026727077	0.0	82344581.0
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_1_P	17.643902784100348	47.0	97.7219594893652	0.0	91650551.0
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_2_P	17.119125464558564	47.0	96.20255101357765	0.0	91650551.0
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_1_P	13.401205197640948	48.0	97.26224394994253	0.0	85288694.0
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_2_P	13.309297027845929	48.0	95.63114245834272	0.0	85288694.0
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_1_P	15.926689929386058	47.0	97.09144858784673	0.0	82519973.0
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_2_P	15.763257267523699	47.0	95.71808393587332	0.0	82519973.0
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_1_P	14.239753329523609	48.0	97.33793429222483	0.0	84403710.0
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_2_P	14.041900874120032	47.0	95.77995865347626	0.0	84403710.0
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_1_P	14.716060761065222	47.0	97.44022511838098	0.0	88492463.0
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_2_P	14.567435557370018	47.0	95.794232216138	0.0	88492463.0
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_1_P	14.750657979283716	47.0	97.96218505728838	0.0	84245004.0
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_2_P	14.782746332611424	47.0	96.64369094219522	0.0	84245004.0
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_1_P	14.27013976460971	47.0	97.77692972417664	0.0	84141170.0
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_2_P	14.326970714973285	47.0	96.71426903143848	0.0	84141170.0
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_1_P	21.241150701725687	46.0	97.90626125018976	0.0	84609684.0
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_2_P	20.58124012404491	46.0	95.96742663641197	0.0	84609684.0
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_1_P	13.176781248907403	47.0	97.92101253429409	0.0	85182300.0
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_2_P	12.582685399458882	47.0	95.84970217991297	0.0	85182300.0
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_1_P	22.876494041010076	47.0	95.51085232093837	0.0	81804068.0
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_2_P	24.07559568380144	47.0	96.49915094686978	0.0	81804068.0
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_1_P	15.445487052727387	47.0	98.23404231950752	0.0	79667515.0
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_2_P	15.109205878497193	47.0	96.93747856952737	0.0	79667515.0
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_1_P	24.46451351139595	47.0	96.53930424030422	0.0	66901662.0
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_2_P	23.013317921476187	47.0	95.34583965940936	0.0	66901662.0
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_1_P	22.50223559590458	47.0	94.98918481500738	0.0	83148832.0
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_2_P	22.746909247625084	47.0	95.66609327717315	0.0	83148832.0
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_1_P	21.474036219145873	48.0	95.11932588201813	0.0	76597037.0
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_2_P	21.760547360494968	47.0	95.58770290292038	0.0	76597037.0
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_1_P	19.428452084420158	47.0	94.37559018121829	0.0	84809544.0
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_2_P	20.18924055055031	47.0	94.30317135062063	0.0	84809544.0
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_1_P	23.675821773540136	47.0	94.60248028393254	0.0	73901781.0
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_2_P	24.078778410972546	47.0	94.32459666973385	0.0	73901781.0
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_1_P	19.52427581207084	46.0	97.1826079587614	0.0	74673328.0
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_2_P	19.444932019095802	46.0	95.83492105775706	9.090909090909092	74673328.0
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_1_P	14.88512919923231	47.0	98.49924228010701	0.0	79334066.0
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_2_P	14.50940767419145	47.0	97.00094778956621	0.0	79334066.0
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_1_P	14.684690533160321	47.0	97.31067513897814	0.0	77695129.0
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_2_P	14.713913578864279	47.0	96.26150130981827	9.090909090909092	77695129.0
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_1_P	16.27740317533761	47.0	97.42333107322087	0.0	87001570.0
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_2_P	16.597602462369025	46.0	96.68858872316902	9.090909090909092	87001570.0
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_1_P	30.431896953766397	48.0	97.16668651333609	0.0	77695656.0
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_2_P	30.08229445527418	48.0	96.73518249205593	0.0	77695656.0
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_1_P	13.258115145400012	48.0	98.41006573787224	0.0	88713854.0
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_2_P	13.012045081131049	48.0	97.58096301396172	0.0	88713854.0
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_1_P	21.741857118982992	47.0	97.30368610136546	0.0	92493604.0
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_2_P	21.574177669497544	47.0	96.17469750665138	0.0	92493604.0
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_1_P	22.071390210614894	48.0	97.98968047207693	9.090909090909092	96438520.0
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_2_P	21.99054143173234	48.0	97.3877392560566	0.0	96438520.0
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_1_P	19.114140748871435	48.0	96.51657249807526	0.0	88613587.0
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_2_P	18.904875931462854	48.0	96.24638643733043	0.0	88613587.0
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_1_P	17.456619955285163	47.0	97.14775879849833	0.0	81538630.0
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_2_P	18.81409414246326	47.0	96.68331957502842	0.0	81538630.0
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_1_P	23.808642582340553	48.0	97.6268718015689	9.090909090909092	68640489.0
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_2_P	23.448617765260266	48.0	96.9981092063607	0.0	68640489.0
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_1_P	15.80899320695653	47.0	96.86030258287744	0.0	76339085.0
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_2_P	16.690457326953435	47.0	95.9108034632587	0.0	76339085.0
