==========================================
SLURM_JOB_ID = 7188730
SLURM_JOB_NODELIST = a02-11
TMPDIR = /tmp/SLURM_7188730
==========================================
Using GATK jar /home1/mharden/.conda/envs/gatk4/share/gatk4-4.2.2.0-1/gatk-package-4.2.2.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /home1/mharden/.conda/envs/gatk4/share/gatk4-4.2.2.0-1/gatk-package-4.2.2.0-local.jar GenotypeGVCFs -R Kr2015_Undaria.pinnatifida_superscaffolds.fasta --sequence-dictionary Kr2015_Undaria.pinnatifida_superscaffolds.dict -V gendb://0011-scattered.interval_list_data -O 0011-scattered.interval_list.vcf.gz
11:34:18.851 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home1/mharden/.conda/envs/gatk4/share/gatk4-4.2.2.0-1/gatk-package-4.2.2.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
Jan 21, 2022 11:34:18 AM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
11:34:18.941 INFO  GenotypeGVCFs - ------------------------------------------------------------
11:34:18.942 INFO  GenotypeGVCFs - The Genome Analysis Toolkit (GATK) v4.2.2.0
11:34:18.942 INFO  GenotypeGVCFs - For support and documentation go to https://software.broadinstitute.org/gatk/
11:34:18.942 INFO  GenotypeGVCFs - Executing as mharden@a02-11.hpc.usc.edu on Linux v3.10.0-1062.4.1.el7.x86_64 amd64
11:34:18.942 INFO  GenotypeGVCFs - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_302-b08
11:34:18.942 INFO  GenotypeGVCFs - Start Date/Time: January 21, 2022 11:34:18 AM PST
11:34:18.942 INFO  GenotypeGVCFs - ------------------------------------------------------------
11:34:18.942 INFO  GenotypeGVCFs - ------------------------------------------------------------
11:34:18.943 INFO  GenotypeGVCFs - HTSJDK Version: 2.24.1
11:34:18.943 INFO  GenotypeGVCFs - Picard Version: 2.25.4
11:34:18.943 INFO  GenotypeGVCFs - Built for Spark Version: 2.4.5
11:34:18.943 INFO  GenotypeGVCFs - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:34:18.943 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:34:18.943 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:34:18.943 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:34:18.943 INFO  GenotypeGVCFs - Deflater: IntelDeflater
11:34:18.943 INFO  GenotypeGVCFs - Inflater: IntelInflater
11:34:18.943 INFO  GenotypeGVCFs - GCS max retries/reopens: 20
11:34:18.943 INFO  GenotypeGVCFs - Requester pays: disabled
11:34:18.943 INFO  GenotypeGVCFs - Initializing engine
11:34:19.348 INFO  GenomicsDBLibLoader - GenomicsDB native library version : 1.4.1-d59e886
11:34:19.709 info  NativeGenomicsDB - pid=52045 tid=52046 No valid combination operation found for INFO field InbreedingCoeff  - the field will NOT be part of INFO fields in the generated VCF records
11:34:19.709 info  NativeGenomicsDB - pid=52045 tid=52046 No valid combination operation found for INFO field MLEAC  - the field will NOT be part of INFO fields in the generated VCF records
11:34:19.709 info  NativeGenomicsDB - pid=52045 tid=52046 No valid combination operation found for INFO field MLEAF  - the field will NOT be part of INFO fields in the generated VCF records
11:34:19.978 INFO  GenotypeGVCFs - Done initializing engine
11:34:20.007 INFO  ProgressMeter - Starting traversal
11:34:20.007 INFO  ProgressMeter -        Current Locus  Elapsed Minutes    Variants Processed  Variants/Minute
11:36:00.468 INFO  ProgressMeter -        LG02:10800014              1.7                  1000            597.2
11:36:10.483 INFO  ProgressMeter -        LG02:10870320              1.8                 69000          37474.5
11:36:31.435 INFO  ProgressMeter -        LG02:10883344              2.2                 82000          37434.9
11:36:43.292 INFO  ProgressMeter -        LG02:10957118              2.4                155000          64905.6
11:37:24.613 INFO  ProgressMeter -        LG02:10967910              3.1                164000          53302.7
11:37:34.618 INFO  ProgressMeter -        LG02:11040365              3.2                235000          72452.2
11:37:55.794 INFO  ProgressMeter -        LG02:11050555              3.6                245000          68122.7
11:38:07.760 INFO  ProgressMeter -        LG02:11171494              3.8                330000          86936.3
11:38:54.871 INFO  ProgressMeter -        LG02:11185715              4.6                344000          75091.7
11:39:04.990 INFO  ProgressMeter -        LG02:11259532              4.7                417000          87794.7
11:39:28.451 INFO  ProgressMeter -        LG02:11265643              5.1                423000          82284.0
11:39:40.328 INFO  ProgressMeter -        LG02:11328483              5.3                484000          90659.1
11:40:26.138 INFO  ProgressMeter -        LG02:11350677              6.1                506000          82921.1
11:40:36.204 INFO  ProgressMeter -        LG02:11418123              6.3                572000          91228.8
11:40:57.077 INFO  ProgressMeter -        LG02:11435513              6.6                589000          89001.9
11:41:07.181 INFO  ProgressMeter -        LG02:11497668              6.8                649000          95634.8
11:41:55.272 INFO  ProgressMeter -        LG02:11528024              7.6                678000          89354.6
11:42:05.290 INFO  ProgressMeter -        LG02:11609673              7.8                758000          97747.0
11:42:28.073 INFO  ProgressMeter -        LG02:11612676              8.1                761000          93552.9
11:42:38.147 INFO  ProgressMeter -        LG02:11694363              8.3                841000         101296.8
11:43:19.814 INFO  ProgressMeter -        LG02:11695379              9.0                842000          93589.0
11:43:31.344 INFO  ProgressMeter -        LG02:11789744              9.2                917000          99793.8
11:43:56.340 INFO  ProgressMeter -        LG02:11818148              9.6                944000          98276.5
11:44:06.423 INFO  ProgressMeter -        LG02:11888529              9.8               1013000         103646.6
11:44:46.929 INFO  ProgressMeter -        LG02:11904765             10.4               1028000          98385.4
11:44:56.981 INFO  ProgressMeter -        LG02:11976042             10.6               1094000         103049.7
11:45:19.644 INFO  ProgressMeter -        LG02:11994099             11.0               1112000         101147.2
11:45:29.676 INFO  ProgressMeter -        LG02:12064835             11.2               1182000         105903.1
11:46:13.545 INFO  ProgressMeter -        LG02:12076324             11.9               1193000         100317.0
11:46:23.838 INFO  ProgressMeter -        LG02:12199736             12.1               1278000         105936.3
11:46:47.733 INFO  ProgressMeter -        LG02:12226776             12.5               1305000         104717.5
11:46:57.780 INFO  ProgressMeter -        LG02:12288663             12.6               1366000         108159.0
11:47:41.229 INFO  ProgressMeter -        LG02:12321113             13.4               1391000         104165.9
11:47:52.416 INFO  ProgressMeter -        LG02:12403053             13.5               1453000         107310.5
11:48:17.679 INFO  ProgressMeter -        LG02:12429086             14.0               1479000         105936.5
11:48:27.681 INFO  ProgressMeter -        LG02:12501870             14.1               1551000         109782.8
11:49:13.302 INFO  ProgressMeter -        LG02:12512240             14.9               1561000         104847.8
11:49:23.331 INFO  ProgressMeter -        LG02:12584022             15.1               1631000         108333.2
11:49:47.158 INFO  ProgressMeter -        LG02:12597174             15.5               1644000         106390.4
11:49:57.228 INFO  ProgressMeter -        LG02:12694237             15.6               1715000         109792.7
11:50:46.123 INFO  ProgressMeter -        LG02:12738806             16.4               1755000         106782.6
11:50:56.163 INFO  ProgressMeter -        LG02:12812071             16.6               1827000         110043.0
11:51:17.831 INFO  ProgressMeter -        LG02:12820098             17.0               1835000         108171.9
11:51:29.151 INFO  ProgressMeter -        LG02:12885339             17.2               1899000         110713.4
11:52:16.917 INFO  ProgressMeter -        LG02:12903532             17.9               1917000         106805.6
11:52:26.942 INFO  ProgressMeter -        LG02:12975001             18.1               1988000         109739.8
11:53:05.067 INFO  ProgressMeter -        LG02:12985294             18.8               1998000         106554.3
11:53:15.389 INFO  ProgressMeter -        LG02:13040125             18.9               2051000         108386.4
11:54:07.903 INFO  ProgressMeter -        LG02:13073508             19.8               2080000         105059.7
11:54:17.943 INFO  ProgressMeter -        LG02:13151825             20.0               2143000         107334.6
11:54:45.437 INFO  ProgressMeter -        LG02:13182653             20.4               2171000         106297.4
11:54:55.440 INFO  ProgressMeter -        LG02:13248557             20.6               2236000         108593.6
11:55:38.376 INFO  ProgressMeter -        LG02:13268569             21.3               2256000         105884.9
11:55:49.454 INFO  ProgressMeter -        LG02:13341478             21.5               2328000         108325.5
11:56:15.687 INFO  ProgressMeter -        LG02:13351496             21.9               2338000         106621.7
11:56:25.752 INFO  ProgressMeter -        LG02:13420653             22.1               2406000         108889.7
11:57:14.434 INFO  ProgressMeter -        LG02:13435683             22.9               2421000         105687.7
11:57:25.133 INFO  ProgressMeter -        LG02:13498175             23.1               2483000         107557.0
11:57:48.586 INFO  ProgressMeter -        LG02:13516420             23.5               2501000         106532.9
11:57:58.601 INFO  ProgressMeter -        LG02:13590161             23.6               2574000         108868.4
11:58:41.188 INFO  ProgressMeter -        LG02:13595177             24.4               2579000         105900.6
11:58:51.888 INFO  ProgressMeter -        LG02:13653690             24.5               2637000         107495.1
11:59:15.249 INFO  ProgressMeter -        LG02:13689052             24.9               2667000         107019.5
11:59:25.285 INFO  ProgressMeter -        LG02:13765166             25.1               2742000         109295.4
12:00:11.524 INFO  ProgressMeter -        LG02:13772171             25.9               2749000         106308.9
12:00:21.686 INFO  ProgressMeter -        LG02:13826384             26.0               2803000         107691.9
12:00:45.759 INFO  ProgressMeter -        LG02:13854532             26.4               2831000         107116.4
12:00:58.093 INFO  ProgressMeter -        LG02:13929536             26.6               2905000         109068.0
12:01:39.001 INFO  ProgressMeter -        LG02:13935539             27.3               2911000         106565.4
12:01:49.001 INFO  ProgressMeter -        LG02:14010308             27.5               2985000         108611.7
12:02:11.162 INFO  ProgressMeter -        LG02:14016313             27.9               2991000         107386.8
12:02:22.755 INFO  ProgressMeter -        LG02:14087919             28.0               3062000         109178.6
12:03:08.404 INFO  ProgressMeter -        LG02:14097933             28.8               3072000         106642.2
12:03:18.458 INFO  ProgressMeter -        LG02:14178639             29.0               3148000         108648.4
12:03:39.223 INFO  ProgressMeter -        LG02:14183642             29.3               3153000         107536.5
12:03:50.426 INFO  ProgressMeter -        LG02:14250088             29.5               3218000         109058.9
12:04:34.782 INFO  ProgressMeter -        LG02:14280437             30.2               3240000         107120.7
12:04:45.211 INFO  ProgressMeter -        LG02:14368534             30.4               3314000         108941.2
12:05:08.596 INFO  ProgressMeter -        LG02:14397662             30.8               3342000         108471.9
12:05:18.644 INFO  ProgressMeter -        LG02:14458555             31.0               3398000         109693.3
12:06:07.759 INFO  ProgressMeter -        LG02:14489836             31.8               3428000         107812.8
12:06:17.791 INFO  ProgressMeter -        LG02:14551980             32.0               3489000         109157.2
12:06:43.884 INFO  ProgressMeter -        LG02:14574018             32.4               3511000         108371.1
12:06:53.943 INFO  ProgressMeter -        LG02:14649583             32.6               3578000         109870.6
12:07:40.802 INFO  ProgressMeter -        LG02:14676955             33.3               3605000         108107.0
12:07:50.874 INFO  ProgressMeter -        LG02:14735181             33.5               3663000         109296.1
12:08:19.896 INFO  ProgressMeter -        LG02:14755336             34.0               3683000         108329.4
12:08:29.906 INFO  ProgressMeter -        LG02:14810441             34.2               3737000         109381.0
12:09:20.910 INFO  ProgressMeter -        LG02:14834814             35.0               3761000         107411.0
12:09:31.773 INFO  ProgressMeter -        LG02:14899918             35.2               3825000         108676.8
12:09:53.669 INFO  ProgressMeter -        LG02:14918965             35.6               3844000         108095.8
12:10:03.719 INFO  ProgressMeter -        LG02:14985242             35.7               3908000         109380.4
12:10:55.718 INFO  ProgressMeter -        LG02:15033507             36.6               3939000         107637.1
12:11:06.507 INFO  ProgressMeter -        LG02:15090770             36.8               3993000         108579.2
12:11:36.053 INFO  ProgressMeter -        LG02:15125418             37.3               4024000         107976.3
12:11:46.232 INFO  ProgressMeter -        LG02:15200886             37.4               4083000         109063.0
12:11:57.360 INFO  ProgressMeter -        LG02:15291824             37.6               4165000         110704.9
12:12:43.110 INFO  ProgressMeter -        LG02:15307863             38.4               4175000         108766.3
12:12:53.195 INFO  ProgressMeter -        LG02:15362700             38.6               4228000         109666.9
12:13:26.017 INFO  ProgressMeter -        LG02:15422839             39.1               4279000         109436.9
12:13:36.022 INFO  ProgressMeter -        LG02:15494651             39.3               4327000         110194.5
12:13:47.980 INFO  ProgressMeter -        LG02:15589514             39.5               4399000         111462.4
12:14:36.222 INFO  ProgressMeter -        LG02:15610093             40.3               4419000         109733.6
12:14:46.595 INFO  ProgressMeter -        LG02:15666262             40.4               4471000         110550.3
12:15:14.740 INFO  ProgressMeter -        LG02:15695745             40.9               4500000         109991.6
12:15:25.444 INFO  ProgressMeter -        LG02:15771630             41.1               4565000         111095.9
12:16:12.587 INFO  ProgressMeter -        LG02:15816134             41.9               4608000         110038.3
12:16:23.555 INFO  ProgressMeter -        LG02:15963929             42.1               4710000         111985.2
12:16:33.593 INFO  ProgressMeter -        LG02:16037060             42.2               4760000         112725.6
12:16:57.140 INFO  ProgressMeter -        LG02:16062274             42.6               4779000         112133.4
12:17:07.197 INFO  ProgressMeter -        LG02:16178759             42.8               4857000         113517.1
12:17:17.288 INFO  ProgressMeter -        LG02:16291217             43.0               4930000         114772.1
12:18:05.598 INFO  ProgressMeter -        LG02:16329180             43.8               4953000         113185.9
12:18:15.618 INFO  ProgressMeter -        LG02:16457674             43.9               5038000         114690.7
12:18:25.716 INFO  ProgressMeter -        LG02:16543135             44.1               5090000         115432.2
12:18:55.032 INFO  ProgressMeter -        LG02:16602577             44.6               5134000         115154.1
12:19:06.125 INFO  ProgressMeter -        LG02:16696485             44.8               5201000         116175.1
12:19:16.146 INFO  ProgressMeter -        LG02:16795461             44.9               5274000         117367.8
12:20:00.555 INFO  ProgressMeter -        LG02:16798478             45.7               5277000         115531.6
12:20:10.591 INFO  ProgressMeter -        LG02:16929759             45.8               5361000         116942.4
12:20:43.284 INFO  ProgressMeter -        LG02:17015073             46.4               5428000         117013.2
12:20:53.380 INFO  ProgressMeter -        LG02:17089939             46.6               5479000         117685.7
12:21:04.931 INFO  ProgressMeter -        LG02:17184487             46.7               5549000         118698.4
12:21:54.291 INFO  ProgressMeter -        LG02:17230574             47.6               5583000         117360.4
12:22:04.692 INFO  ProgressMeter -        LG02:17308649             47.7               5651000         118358.6
12:22:28.856 INFO  ProgressMeter -        LG02:17343276             48.1               5681000         117991.6
12:22:39.923 INFO  ProgressMeter -        LG02:17423800             48.3               5745000         118865.5
12:23:31.083 INFO  ProgressMeter -        LG02:17447118             49.2               5768000         117272.5
12:23:41.141 INFO  ProgressMeter -        LG02:17521625             49.4               5842000         118373.6
12:24:04.709 INFO  ProgressMeter -        LG02:17530822             49.7               5851000         117619.8
12:24:16.185 INFO  ProgressMeter -        LG02:17590375             49.9               5908000         118310.7
12:25:02.937 INFO  ProgressMeter -        LG02:17617631             50.7               5935000         117025.4
12:25:12.955 INFO  ProgressMeter -        LG02:17681315             50.9               5997000         117859.9
12:25:57.202 INFO  ProgressMeter -        LG02:17711126             51.6               6021000         116641.0
12:26:07.233 INFO  ProgressMeter -        LG02:17798438             51.8               6099000         117770.6
12:26:53.798 INFO  ProgressMeter -        LG02:17813070             52.6               6113000         116298.1
12:27:03.815 INFO  ProgressMeter -        LG02:17881912             52.7               6180000         117200.5
12:27:28.468 INFO  ProgressMeter -        LG02:17901625             53.1               6199000         116651.9
12:27:38.477 INFO  ProgressMeter -        LG02:17974363             53.3               6271000         117637.5
12:28:27.117 INFO  ProgressMeter -        LG02:17988393             54.1               6285000         116134.0
12:28:38.150 INFO  ProgressMeter -        LG02:18087419             54.3               6361000         117140.3
12:29:08.201 INFO  ProgressMeter -        LG02:18157708             54.8               6413000         117018.6
12:29:18.231 INFO  ProgressMeter -        LG02:18263009             55.0               6487000         118009.0
12:30:08.434 INFO  ProgressMeter -        LG02:18289042             55.8               6513000         116705.5
12:30:19.419 INFO  ProgressMeter -        LG02:18359569             56.0               6579000         117502.7
12:30:44.170 INFO  ProgressMeter -        LG02:18383822             56.4               6603000         117068.9
12:31:42.703 INFO  ProgressMeter -        LG02:18464027             57.4               6683000         116472.7
12:31:54.797 INFO  ProgressMeter -        LG02:18519694             57.6               6738000         117020.1
12:32:21.990 INFO  ProgressMeter -        LG02:18545840             58.0               6764000         116554.3
12:32:32.039 INFO  ProgressMeter -        LG02:18621066             58.2               6830000         117352.9
12:33:21.464 INFO  ProgressMeter -        LG02:18640273             59.0               6849000         116037.0
