Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France	24.7366	92.6374015986707	160814568.0	173595724.0	2.13	92.64														
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_1							2.16	16.30760014960336	48.0	101.0	0.0	108645166.0								
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_2								13.433474090743914	47.0	101.0	9.090909090909092	108645166.0								
SRR12223699_bamqc_results													48.16957468125694	472	93.86063253069689	86.34022644401156	78.89164346234051	31.857432376805225	3.8080129619279752	23
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France	23.739	94.64512618480781	154313156.0	163043954.0	1.4000000000000001	94.65														
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_1							4.71	15.748443695252277	48.0	101.0	0.0	103876745.0								
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_2								14.931552726803815	48.0	101.0	0.0	103876745.0								
SRR12223700_bamqc_results													48.81588308743501	471	93.83728887901648	86.36794441039494	78.56758454661731	30.026838170775342	3.4044622980460164	22
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France	22.89	93.43674045876517	148223590.0	158635232.0	2.08	93.44														
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_1							5.81	17.966118775216444	47.0	101.0	0.0	104370102.0								
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_2								17.158435955493687	47.0	101.0	9.090909090909092	104370102.0								
SRR12223701_bamqc_results													47.86192790635361	481	93.77157440197053	85.51395248403057	76.24667972974638	24.10297153515685	2.938691313748665	20
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France	23.5868	93.92946258378714	152959253.0	162844808.0	1.9800000000000002	93.93														
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_1							6.68	16.432290048042773	48.0	101.0	0.0	111288578.0								
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_2								4.153050364945102	47.0	101.0	9.090909090909092	111288578.0								
SRR12223702_bamqc_results													48.00593740417182	472	93.78259316155253	85.83954572723687	77.42719138979291	27.830984038047326	3.382522486671629	21
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France	26.922	93.62161643371967	173067381.0	184858356.0	1.3599999999999999	93.62														
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_1							3.94	18.749614439053985	47.0	101.0	0.0	114048358.0								
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_2								17.87758151089666	47.0	101.0	0.0	114048358.0								
SRR12223703_bamqc_results													47.93999219239002	485	93.53049540249471	86.2823933609423	79.3563343027832	36.35353416615808	5.176056443293774	24
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea	24.6187	93.60275529301606	160496672.0	171465756.0	1.83	93.6														
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_1							2.87	16.060157268914026	48.0	101.0	0.0	101212765.0								
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_2								15.634748322096684	48.0	101.0	0.0	101212765.0								
SRR12223704_bamqc_results													48.53823785732677	456	93.96710738810533	86.11187419931717	77.91594245823744	29.31242245222317	3.151994825319818	22
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France	24.266	94.60073942206348	155797165.0	164689162.0	1.3599999999999999	94.6														
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_1							3.72	15.893646111258477	48.0	101.0	0.0	101344086.0								
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_2								15.067016590218827	48.0	101.0	0.0	101344086.0								
SRR12223705_bamqc_results													48.26348004302835	478	93.36025029546008	85.63668229298415	78.04409331598835	29.1426896807111	3.286566187999725	22
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea	26.3466	93.35070664223284	171112874.0	183301102.0	1.82	93.35														
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_1							2.84	18.61718894602207	47.0	101.0	0.0	107898523.0								
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_2								17.810318500437035	47.0	101.0	0.0	107898523.0								
SRR12223706_bamqc_results													47.94401340893377	460	94.08658384285175	86.4027233405088	78.55363392297457	32.98445579855537	3.981067955879556	23
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea	24.3741	93.32823058587343	159196858.0	170577388.0	1.8800000000000001	93.33														
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_1							2.89	14.531288418840163	48.0	101.0	0.0	101235093.0								
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_2								14.250976676813579	48.0	101.0	9.090909090909092	101235093.0								
SRR12223707_bamqc_results													48.87657351964194	465	93.42885581992564	85.47635704808498	77.51446745451157	30.869885879145592	3.4049366536051893	23
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea	23.6486	93.62941684433174	154525939.0	165039946.0	1.82	93.63														
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_1							2.86	17.173549138881228	48.0	101.0	0.0	97557819.0								
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_2								16.59725948890089	48.0	101.0	9.090909090909092	97557819.0								
SRR12223708_bamqc_results													48.14296915864966	465	93.16595567676183	84.76897692075663	76.07683065444603	25.192147371826955	2.8325923161437525	21
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea	24.1637	93.36669561089198	157609910.0	168807420.0	1.8599999999999999	93.37														
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_1							3.03	15.330228253486922	48.0	101.0	0.0	100543145.0								
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_2								14.879574778829436	48.0	101.0	0.0	100543145.0								
