Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France	SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France.sorted.bam	173595724.0	160814568.0	15696492837.0	15680179708.0	14922.1411	473.0	25.9759	0.0213	24.7366	92.6374015986707
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France	SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France.sorted.bam	163043954.0	154313156.0	15063458580.0	15047049791.0	11611.8709	472.0	27.4994	0.014	23.739	94.64512618480781
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France	SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France.sorted.bam	158635232.0	148223590.0	14524767941.0	14509918682.0	15096.349	481.0	25.6692	0.0208	22.89	93.43674045876517
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France	SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France.sorted.bam	162844808.0	152959253.0	14966913129.0	14951077982.0	12199.8814	472.0	26.0707	0.0198	23.5868	93.92946258378714
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France	SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France.sorted.bam	184858356.0	173067381.0	17083199465.0	17064826693.0	11307.2454	486.0	27.3409	0.0136	26.922	93.62161643371967
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea	SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea.sorted.bam	171465756.0	160496672.0	15621694570.0	15598631645.0	10929.1682	457.0	25.5493	0.0183	24.6187	93.60275529301606
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France	SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France.sorted.bam	164689162.0	155797165.0	15397888867.0	15381413072.0	11080.3059	478.0	27.3586	0.0136	24.266	94.60073942206348
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea	SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea.sorted.bam	183301102.0	171112874.0	16718102516.0	16693220078.0	11123.0655	460.0	25.4316	0.0182	26.3466	93.35070664223284
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea	SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea.sorted.bam	170577388.0	159196858.0	15466458388.0	15443168151.0	12006.7427	465.0	25.5033	0.0188	24.3741	93.32823058587343
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea	SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea.sorted.bam	165039946.0	154525939.0	15006072467.0	14984045675.0	11278.2163	465.0	25.4326	0.0182	23.6486	93.62941684433174
