Sample	input_read_pairs	surviving	surviving_pct	forward_only_surviving	forward_only_surviving_pct	reverse_only_surviving	reverse_only_surviving_pct	dropped	dropped_pct
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_1	108645166.0	86797862.0	79.89	16439764.0	15.13	3064060.0	2.82	2343480.0	2.16
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_1	103876745.0	81521977.0	78.48	14154593.0	13.63	3308258.0	3.18	4891917.0	4.71
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_1	104370102.0	79317616.0	76.0	15544384.0	14.89	3445246.0	3.3	6062856.0	5.81
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_1	111288578.0	81422404.0	73.16	18894296.0	16.98	3537819.0	3.18	7434059.0	6.68
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_1	114048358.0	92429178.0	81.04	14075363.0	12.34	3050978.0	2.68	4492839.0	3.94
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_1	101212765.0	85732878.0	84.71	10025087.0	9.9	2553650.0	2.52	2901150.0	2.87
SRR12223705_SRP271933_Undaria_pinnatifida_individual_5_2016-04-19_INTRO_Fr_Roscoff_5_France_1	101344086.0	82344581.0	81.25	12732444.0	12.56	2492610.0	2.46	3774451.0	3.72
SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea_1	107898523.0	91650551.0	84.94	10680061.0	9.9	2508812.0	2.33	3059099.0	2.84
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_1	101235093.0	85288694.0	84.25	10576391.0	10.45	2447468.0	2.42	2922540.0	2.89
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_1	97557819.0	82519973.0	84.59	9744233.0	9.99	2501732.0	2.56	2791881.0	2.86
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_1	100543145.0	84403710.0	83.95	10598050.0	10.54	2492099.0	2.48	3049286.0	3.03
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_1	105282633.0	88492463.0	84.05	11113546.0	10.56	2547358.0	2.42	3129266.0	2.97
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_1	98630688.0	84245004.0	85.41	9702725.0	9.84	2091431.0	2.12	2591528.0	2.63
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_1	98042675.0	84141170.0	85.82	9084041.0	9.27	2228800.0	2.27	2588664.0	2.64
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_1	99998960.0	84609684.0	84.61	10523282.0	10.52	1995032.0	2.0	2870962.0	2.87
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_1	100425143.0	85182300.0	84.82	10308102.0	10.26	2039253.0	2.03	2895488.0	2.88
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_1	107057959.0	81804068.0	76.41	14173315.0	13.24	4994348.0	4.67	6086228.0	5.68
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_1	104433646.0	79667515.0	76.29	17013782.0	16.29	2607517.0	2.5	5144832.0	4.93
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_1	98815241.0	66901662.0	67.7	20419940.0	20.66	3970186.0	4.02	7523453.0	7.61
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_1	111565597.0	83148832.0	74.53	16201978.0	14.52	5131398.0	4.6	7083389.0	6.35
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_1	103012930.0	76597037.0	74.36	15282372.0	14.84	4516511.0	4.38	6617010.0	6.42
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_1	115917661.0	84809544.0	73.16	18049522.0	15.57	5341982.0	4.61	7716613.0	6.66
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_1	102220890.0	73901781.0	72.3	16896345.0	16.53	4642796.0	4.54	6779968.0	6.63
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_1	103574253.0	74673328.0	72.1	18685100.0	18.04	3254502.0	3.14	6961323.0	6.72
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_1	102600689.0	79334066.0	77.32	16553330.0	16.13	2197565.0	2.14	4515728.0	4.4
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_1	102389141.0	77695129.0	75.88	15477485.0	15.12	3332778.0	3.26	5883749.0	5.75
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_1	110689360.0	87001570.0	78.6	14516841.0	13.11	3620064.0	3.27	5550885.0	5.01
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_1	100489169.0	77695656.0	77.32	14682201.0	14.61	3250925.0	3.24	4860387.0	4.84
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_1	107656836.0	88713854.0	82.4	12302142.0	11.43	2787749.0	2.59	3853091.0	3.58
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_1	122799653.0	92493604.0	75.32	19789323.0	16.12	3719459.0	3.03	6797267.0	5.54
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_1	113281369.0	96438520.0	85.13	11137655.0	9.83	2784079.0	2.46	2921115.0	2.58
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_1	117172564.0	88613587.0	75.63	17813632.0	15.2	4232093.0	3.61	6513252.0	5.56
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_1	105680022.0	81538630.0	77.16	15345683.0	14.52	3478424.0	3.29	5317285.0	5.03
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_1	81641741.0	68640489.0	84.08	8631618.0	10.57	2178145.0	2.67	2191489.0	2.68
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_1	104447851.0	76339085.0	73.09	18200157.0	17.43	3574272.0	3.42	6334337.0	6.06
